content,predicted_topic
"I have been using trucker path for many years, but in the past year it has not been working for me, every time I open the app it stays on for a few seconds and then closes, I have sent many emails with the apps. staff and I have not yet had the issue solved. I'm starting to realize that the trucker path staff could careless.",4
"update is garbage. first is when you pick a new place in your destination. it will reroute to default route and not the route chosen. Secondly, the truck stops, and distances are off. The last thing it glitches more, and i have uninstalled and reinstalled. I loved the app before, but now it almost is like a waste of money.",2
incorrect navigation - incorrect truck routing @ no zones,0
"Did not like TPath format, so I canceled . Don't seem to be canceled. How do I get my money back.",0
I've been trying to cancel this service for over a year and I keep getting charged 32.57 per month for diamond service. this company is in for a lawsuit if they don't stop charging me and regions me for at least 12 months.,0
disappointed immediately because to access the truck routes in map navigation you have to subscribe and pay $20-30 per month. not worth it for only occasional use. NO THANK YOU,4
this map is old out dated and trash,0
"The app won't let me do a monthly gold subscription because it starts with a free 7 day free trial. Since I've already done that subscription in the past w the free trial, now I can't get a monthly gold subscription at all. I couldn't care any less about the free 7 day trial. I just need the monthly subscription without being forced to get an annual subscription to get the gold perks. Big L Trucker Path",4
"The app works great. I am trying to buy the annual subscription for diamond, witch is supposed to be 249 a year, but in reality is asking for 369. How can I pay the amount advertised in the app for 249$ a year. Is there any way to pay the amount advertised for a year or I'd better forget about this app.",0
"7 day TRIAL IS a trick and will automatically subscribe you for one year, and you can't get out of it. (With Gold Version) Bloated with fuel advertising/ question pop-ups. Slow app compared to others, especially when ""looking for route"" loading must be server based because its slow. Very, very slim or no useful/ current road construction/ closed road data. *Random detour off, then on a good road that was unessasary. *Toll calculator is wrong by a lot. Reality= $50.90 (State website), app= $22",0
"NOT RECOMMEND!! Used to be a great app a few years ago. Q:1 how do I shut off all the unnecessary alert? ie: animal ahead, curve ahead ect.. all useless Q:2 what happened to the driver reviews? Places that had hundreds of reviews now show 2-10? Seems like the app wants to cater to businesses NOT the driver by allowing compaies to remove reviews and start advertising regardless of whether I have them selected or not. After yrs of the yearly subscriptions, We will not be re-upping anymore.",4
Don't use the fuel option it doesn't work and there just stealing your money for 24hrs! You can't call them or message them. My bank will know this is a fraud charge.,0
"Hi there Please add function where once you zoomed in or zoomed out the map as much as you wanted the map locks at the zoomed distance i miss a lot off turns because map won't stay at my zoomed in distance , the view is to far",0
I'm not a trucker stop showing it in my game I'm playing!!!,0
"NO PARKING UPDATE BUTTON on a Samsung Galaxy Tab S9 FE... fuel update yes, not truck parking update button",0
"I used to use this app years ago. The free version no longer finds truck routes, just car routes. There doesn't seem to be an option for providing updates on roads that are not for trucks. The trucks that come through my area are constantly getting stuck due to missdirection and I just found out this app was routing them.",1
Was working perfectly now not even the weigh stations or fuel shows,4
"Absolutely sucks, can't connect with my gmail account, UNBELIEVEABLE!!! I want to buy and they don't want to sell it to me. Terrible!!!!",0
